Grouping,species,labelit,rank,abundance,proportion,plower,pupper,accumfreq,logabun,rankfreq
Green_LP,Anabaena_sp,TRUE,4,18000,2.8,-1.9,7.4,70.9,4.3,6.8
Green_LP,Jaaginema_sp,TRUE,5,16714.3,2.6,0.8,4.3,73.4,4.2,8.5
Green_LP,Pseudanabaena_sp,TRUE,6,16142.9,2.5,0,5,75.9,4.2,10.2
Green_LP,M_contortum,TRUE,7,11428.6,1.7,0.4,3.1,77.7,4.1,11.9
Green_LP,Flagellated_greens,TRUE,8,10571.4,1.6,-0.4,3.6,79.3,4,13.6
Green_LP,Golenkinia_sp,TRUE,9,9571.4,1.5,0.2,2.8,80.7,4,15.3
Green_LP,Dinoflagellates,TRUE,10,9571.4,1.5,-0.3,3.2,82.2,4,16.9
Red_HP,Pseudanabaena_sp,TRUE,1,336571.4,31.7,24.7,38.6,31.7,5.5,2.6
Red_HP,Aphanocapsa_sp,TRUE,2,132285.7,12.4,1.7,23.2,44.1,5.1,5.3
Red_HP,Non_flagellated_green,TRUE,3,126857.1,11.9,8.9,15,56,5.1,7.9
Red_HP,Desmodesmus_sp,TRUE,4,101428.6,9.5,5.4,13.7,65.6,5,10.5
Red_HP,Unknown_green,TRUE,5,94857.1,8.9,3.5,14.4,74.5,5,13.2
Red_HP,Merismopedia_sp,TRUE,6,91285.7,8.6,-6.9,24.1,83.1,5,15.8
Red_HP,Jaaginema_sp,TRUE,7,35571.4,3.3,-0.3,7,86.4,4.6,18.4
Red_HP,Didyomogenes_sp,TRUE,8,32428.6,3.1,2,4.1,89.5,4.5,21.1
Red_HP,Flagellated_greens,TRUE,9,19714.3,1.9,-0.4,4.1,91.3,4.3,23.7
Red_HP,M_contortum,TRUE,10,15428.6,1.5,1.1,1.8,92.8,4.2,26.3
Red_LP,Aphanocapsa_sp,TRUE,1,640000,46.5,32.3,60.6,46.5,5.8,2.8
Red_LP,Jaaginema_sp,TRUE,2,517428.6,37.6,23.8,51.3,84,5.7,5.6
Red_LP,Unknown_green,TRUE,3,86428.6,6.3,3.1,9.5,90.3,4.9,8.3
Red_LP,Pseudanabaena_sp,TRUE,4,60714.3,4.4,-0.9,9.7,94.7,4.8,11.1
Red_LP,Aphanizomenon_sp,TRUE,5,11285.7,0.8,-0.5,2.2,95.5,4.1,13.9
Red_LP,Non_flagellated_green,TRUE,6,10857.1,0.8,0,1.6,96.3,4,16.7
Red_LP,Crypto_sp2,TRUE,7,7142.9,0.5,-0.3,1.4,96.8,3.9,19.4
Red_LP,Golenkinia_sp,TRUE,8,5428.6,0.4,0,0.8,97.2,3.7,22.2
Red_LP,Closterium_aciculare,TRUE,9,4571.4,0.3,0,0.7,97.6,3.7,25
Red_LP,Cyanodictyon_sp,TRUE,10,3142.9,0.2,-0.2,0.7,97.8,3.5,27.8
