Light,Phosphorus,Treatment,Day,Micro_Rep,Count_Rep,Squares_Counted,Observer,Unknown_Class,Diatoms,Green Algae,Cyanobacteria,Chrysophytes,Cryptophytes,Dinoflagellates,Euglena
Broad,Low,Broad_LP,0,1,2,14,JS,0,0,642.8571429,857.1428571,0,6785.714286,0,0
Broad,Low,Broad_LP,0,1,3,14,JS,0,214.2857143,1714.285714,1928.571429,0,9571.428571,0,0
Broad,Low,Broad_LP,0,2,1,28,JS,35.71428571,0,392.8571429,0,0,0,0,0
Broad,Low,Broad_LP,0,2,2,28,JS,35.71428571,0,785.7142857,0,35.71428571,0,35.71428571,0
Broad,Low,Broad_LP,0,2,3,28,JS,0,35.71428571,928.5714286,0,0,0,0,0
Broad,Low,Broad_LP,0,3,1,21,JS,0,285.7142857,571.4285714,1380.952381,0,5904.761905,0,0
Broad,Low,Broad_LP,0,3,2,14,JS,0,214.2857143,1357.142857,714.2857143,0,14857.14286,0,71.42857143
Broad,Low,Broad_LP,0,3,3,28,JS,0,107.1428571,785.7142857,1178.571429,214.2857143,107.1428571,0,0
Green,High,Green_HP,0,1,1,28,JS,71.42857143,35.71428571,357.1428571,0,0,107.1428571,0,0
Green,High,Green_HP,0,1,2,28,JS,214.2857143,0,392.8571429,0,0,35.71428571,0,0
Green,High,Green_HP,0,1,3,28,JS,214.2857143,0,464.2857143,0,0,0,0,0
Green,High,Green_HP,0,2,1,28,JS,142.8571429,0,464.2857143,35.71428571,0,0,0,0
Green,High,Green_HP,0,2,2,28,JS,71.42857143,0,2214.285714,785.7142857,0,0,0,0
Green,High,Green_HP,0,2,3,14,JS,71.42857143,0,3357.142857,214.2857143,71.42857143,5000,71.42857143,0
Green,High,Green_HP,0,3,1,28,JS,214.2857143,0,857.1428571,642.8571429,0,0,0,35.71428571
Green,High,Green_HP,0,3,2,28,JS,71.42857143,0,785.7142857,1750,0,0,0,0
Green,High,Green_HP,0,3,3,28,JS,71.42857143,35.71428571,892.8571429,821.4285714,0,0,0,0
Green,Low,Green_LP,0,1,1,21,DA,0,1476.190476,476.1904762,809.5238095,0,5285.714286,0,0
Green,Low,Green_LP,0,1,2,28,DA,107.1428571,428.5714286,285.7142857,2392.857143,0,571.4285714,0,0
Green,Low,Green_LP,0,1,3,28,DA,178.5714286,107.1428571,321.4285714,892.8571429,0,107.1428571,0,0
Green,Low,Green_LP,0,2,1,28,JS,0,0,607.1428571,0,0,0,0,0
Green,Low,Green_LP,0,2,2,28,JS,214.2857143,71.42857143,1464.285714,0,0,71.42857143,0,35.71428571
Green,Low,Green_LP,0,2,3,28,JS,35.71428571,35.71428571,1571.428571,142.8571429,0,714.2857143,0,71.42857143
Green,Low,Green_LP,0,3,1,28,JS,0,250,357.1428571,285.7142857,35.71428571,71.42857143,0,71.42857143
Green,Low,Green_LP,0,3,2,21,JS,0,142.8571429,142.8571429,1666.666667,0,3095.238095,0,0
Green,Low,Green_LP,0,3,3,28,JS,0,321.4285714,428.5714286,607.1428571,0,107.1428571,0,0
Red,High,Red_HP,0,1,1,28,JS,178.5714286,71.42857143,1107.142857,392.8571429,0,0,0,0
Red,High,Red_HP,0,1,2,28,JS,35.71428571,0,1000,464.2857143,0,0,0,0
Red,High,Red_HP,0,1,3,28,JS,285.7142857,35.71428571,821.4285714,500,0,0,0,0
Red,High,Red_HP,0,2,1,14,JS,0,0,571.4285714,357.1428571,0,38642.85714,0,0
Red,High,Red_HP,0,2,2,7,JS,0,142.8571429,714.2857143,1142.857143,0,13142.85714,0,0
Red,High,Red_HP,0,2,3,28,JS,0,250,250,607.1428571,0,357.1428571,0,0
Red,High,Red_HP,0,3,1,28,JS,142.8571429,0,785.7142857,1392.857143,0,0,0,0
Red,High,Red_HP,0,3,2,28,JS,71.42857143,0,857.1428571,1392.857143,0,0,0,0
Red,High,Red_HP,0,3,3,28,JS,285.7142857,35.71428571,1107.142857,0,0,0,0,0
Red,Low,Red_LP,0,1,1,28,JS,35.71428571,0,428.5714286,1214.285714,0,5607.142857,0,0
Red,Low,Red_LP,0,1,2,28,JS,250,0,642.8571429,678.5714286,0,0,0,0
Red,Low,Red_LP,0,1,3,28,JS,178.5714286,35.71428571,928.5714286,1178.571429,0,107.1428571,0,0
Red,Low,Red_LP,0,2,1,28,JS,571.4285714,0,1571.428571,0,0,0,0,0
Red,Low,Red_LP,0,2,2,28,JS,0,0,464.2857143,0,0,0,0,0
Red,Low,Red_LP,0,2,3,28,JS,71.42857143,35.71428571,1107.142857,428.5714286,0,0,0,71.42857143
Red,Low,Red_LP,0,3,1,28,JS,178.5714286,35.71428571,1035.714286,0,0,0,0,0
Red,Low,Red_LP,0,3,2,28,JS,214.2857143,0,1214.285714,0,0,0,0,0
Red,Low,Red_LP,0,3,3,28,JS,392.8571429,0,1785.714286,0,0,0,0,0
